Runtime,Sim ID,Model,Method,Spike Threshold
169.51081824302673,3,Spike,Feedback Align,0.21622455073017247
169.64156198501587,4,Spike,Feedback Align,0.21622455073017247
168.50971126556396,0,Spike,Feedback Align,0.2859301839839107
168.73161268234253,1,Spike,Feedback Align,0.2859301839839107
168.72137904167175,2,Spike,Feedback Align,0.2859301839839107
168.74507975578308,3,Spike,Feedback Align,0.2859301839839107
168.72378420829773,4,Spike,Feedback Align,0.2859301839839107
167.74200701713562,0,Spike,Feedback Align,0.37810724932478534
167.8626410961151,1,Spike,Feedback Align,0.37810724932478534
167.95718455314636,2,Spike,Feedback Align,0.37810724932478534
167.95191979408264,3,Spike,Feedback Align,0.37810724932478534
167.95134973526,4,Spike,Feedback Align,0.37810724932478534
166.77825713157654,0,Spike,Feedback Align,0.5
